candidate,priority,fall_t10_after_E03_s,fall_t50_after_E03_s,fall_t90_after_E03_s,rise_t10_after_E06_s,rise_t50_after_E06_s,rise_t90_after_E06_s,timing_anchor_boundary
0x132/DLC6/B2,P1,1.7798,2.1304,3.3096,12.2862,14.1162,16.0662,VOICE_CUE_NOT_MANUAL_COMPLETION
0x204/DLC8/B4,P1,1.6749,2.175,3.3748,12.3211,14.2207,16.1208,VOICE_CUE_NOT_MANUAL_COMPLETION
0x252/DLC8/B4,P1,2.375,2.4735,4.0723,3.9288,4.8293,5.6293,VOICE_CUE_NOT_MANUAL_COMPLETION
0x292/DLC8/B6,P1,2.2738,2.8724,4.6725,4.8295,6.0295,7.4311,VOICE_CUE_NOT_MANUAL_COMPLETION
0x333/DLC5/B1,P1,1.6577,2.0258,3.2599,3.9815,5.5117,5.8605,VOICE_CUE_NOT_MANUAL_COMPLETION
0x204/DLC8/B2,P2,1.6749,2.075,3.3748,11.7208,11.7208,11.7208,VOICE_CUE_NOT_MANUAL_COMPLETION
0x204/DLC8/B3,P2,1.6749,2.075,3.3748,4.0214,5.6213,5.9215,VOICE_CUE_NOT_MANUAL_COMPLETION
0x212/DLC8/B2,P2,2.1718,2.7721,4.572,12.8293,14.829,16.9296,VOICE_CUE_NOT_MANUAL_COMPLETION
0x212/DLC8/B5,P2,1.7721,2.1718,3.473,4.1291,5.6288,6.029,VOICE_CUE_NOT_MANUAL_COMPLETION
0x264/DLC6/B2,P2,1.9753,2.5754,4.2752,10.2216,14.421,16.2211,VOICE_CUE_NOT_MANUAL_COMPLETION
0x264/DLC6/B3,P2,1.8754,2.2752,3.3757,9.9215,14.221,16.2211,VOICE_CUE_NOT_MANUAL_COMPLETION
0x2A3/DLC7/B4,P2,2.0098,2.7098,4.0099,12.7667,14.9668,17.2668,VOICE_CUE_NOT_MANUAL_COMPLETION
0x472/DLC8/B1,P2,2.3322,2.3322,4.3329,4.3888,6.3888,6.3888,VOICE_CUE_NOT_MANUAL_COMPLETION
