can_id,dlc,byte_offset_zero_based,w1_median_raw,w2_median_raw,w3_median_raw,w1_mode_raw,w2_mode_raw,w3_mode_raw,w1_range_raw,w2_range_raw,w3_range_raw,w1_mode_fraction,w2_mode_fraction,w3_mode_fraction,down_raw,up_raw,return_error_raw,behavior_only
0x123,8,4,210.0,0.0,210.0,210,0,210,210,210,210,0.500715,0.500426,0.500488,210.0,210.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x204,8,4,159.0,0.0,160.0,160,0,160,3,0,3,0.450785,1.0,0.551657,159.0,160.0,1.0,HIGH_LOW_HIGH_RAW_BYTE
0x123,8,3,146.0,0.0,146.0,146,0,146,146,146,146,0.500715,0.500426,0.500488,146.0,146.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x252,8,4,244.0,104.0,244.0,244,104,244,0,0,0,1.0,1.0,1.0,140.0,140.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x123,8,7,128.0,0.0,128.0,128,0,128,128,128,128,0.500715,0.500426,0.500488,128.0,128.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x3E9,8,1,128.0,0.0,128.0,128,0,128,128,128,128,0.657718,0.532258,0.866667,128.0,128.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x132,6,2,178.0,86.0,178.0,178,86,178,3,1,2,0.628571,0.555574,0.655677,92.0,92.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x212,8,1,220.0,156.0,220.0,220,156,220,192,64,192,0.501429,0.939574,0.602339,64.0,64.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x2A3,7,1,64.0,0.0,64.0,64,0,64,64,0,64,0.907143,1.0,0.903415,64.0,64.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x420,8,6,64.0,0.0,64.0,128,0,128,128,128,128,0.5,0.500426,0.5,64.0,64.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x292,8,6,131.0,72.0,130.0,131,72,130,0,0,1,1.0,1.0,0.794347,59.0,58.0,1.0,HIGH_LOW_HIGH_RAW_BYTE
0x7AA,8,3,138.0,89.0,139.0,0,0,0,255,255,255,0.167033,0.154551,0.155289,49.0,50.0,1.0,HIGH_LOW_HIGH_RAW_BYTE
0x264,6,2,208.0,168.0,208.0,208,168,208,0,0,0,1.0,1.0,1.0,40.0,40.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x330,8,1,41.0,5.0,41.0,0,0,0,255,255,255,0.25,0.255319,0.256098,36.0,36.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x204,8,2,70.0,36.0,70.0,70,36,70,1,0,1,0.669044,1.0,0.565302,34.0,34.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x204,8,3,70.0,36.0,70.0,70,36,70,1,0,1,0.669044,1.0,0.565302,34.0,34.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x264,6,3,70.0,36.0,70.0,70,36,70,3,1,3,0.664765,0.989787,0.561404,34.0,34.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x330,8,7,25.5,0.0,25.5,0,0,0,208,208,208,0.5,0.510638,0.5,25.5,25.5,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x123,8,2,18.0,0.0,18.0,18,0,18,18,18,18,0.500715,0.500426,0.500488,18.0,18.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x3A1,8,6,130.0,112.0,130.0,112,162,130,238,238,238,0.062902,0.062553,0.062927,18.0,18.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x752,8,5,37.0,20.0,40.0,0,0,0,193,192,193,0.214286,0.288136,0.213592,17.0,20.0,3.0,HIGH_LOW_HIGH_RAW_BYTE
0x212,8,2,31.0,15.0,31.0,31,15,31,1,0,1,0.501429,1.0,0.602339,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x22A,4,2,109.0,93.0,109.0,109,93,109,0,16,16,1.0,0.886809,0.809756,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x238,8,6,134.0,118.0,134.0,86,6,38,240,240,240,0.064286,0.06383,0.063415,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x284,8,7,142.0,126.0,142.0,126,46,78,240,240,240,0.064286,0.06383,0.063415,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x2EC,3,2,133.0,117.0,133.0,117,21,133,240,240,240,0.062857,0.062979,0.063415,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x321,8,6,128.0,112.0,128.0,176,0,144,240,240,240,0.071429,0.067797,0.067961,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x333,5,1,32.0,16.0,32.0,32,16,32,0,0,0,1.0,1.0,1.0,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x472,8,1,36.0,20.0,36.0,36,20,36,0,0,0,1.0,1.0,1.0,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x552,8,7,135.0,119.0,135.0,135,39,151,240,240,240,0.062857,0.062979,0.063415,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x553,8,7,136.0,120.0,136.0,136,40,152,240,240,240,0.062857,0.062979,0.063415,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x789,4,3,135.0,119.0,135.0,151,55,167,240,240,240,0.062857,0.063032,0.063415,16.0,16.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x212,8,5,28.0,14.0,28.0,28,14,28,0,0,0,1.0,1.0,1.0,14.0,14.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x2A3,7,4,18.0,9.0,18.0,18,9,18,0,0,0,1.0,1.0,1.0,9.0,9.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x252,8,5,217.0,209.0,217.0,217,209,217,8,0,8,0.997143,1.0,0.990253,8.0,8.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x38B,8,2,71.0,63.0,71.0,103,23,95,120,120,120,0.071429,0.067797,0.067961,8.0,8.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x40A,8,6,120.0,112.0,120.0,16,224,160,240,240,240,0.062857,0.062925,0.0625,8.0,8.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x372,8,5,13.0,7.0,13.0,0,0,0,248,248,248,0.4,0.400227,0.40013,6.0,6.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x372,8,4,13.0,8.0,14.0,0,0,0,255,255,255,0.466667,0.467687,0.465843,5.0,6.0,1.0,HIGH_LOW_HIGH_RAW_BYTE
0x23E,8,7,132.0,128.0,132.0,196,239,121,255,255,255,0.049143,0.025877,0.021069,4.0,4.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x2A7,8,5,152.0,148.0,152.0,152,148,152,0,4,4,1.0,0.995745,0.929756,4.0,4.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x2D2,8,0,123.0,117.0,121.0,123,117,121,1,2,2,0.93,0.605106,0.80117,6.0,4.0,2.0,HIGH_LOW_HIGH_RAW_BYTE
0x4E2,8,1,40.0,36.0,40.0,0,0,0,192,192,192,0.25,0.250213,0.249756,4.0,4.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x300,8,2,2.0,0.0,4.0,0,0,0,206,206,206,0.5,0.504274,0.495146,2.0,4.0,2.0,HIGH_LOW_HIGH_RAW_BYTE
0x310,8,0,15.0,13.0,17.0,13,10,18,10,10,10,0.166667,0.171429,0.180328,2.0,4.0,2.0,HIGH_LOW_HIGH_RAW_BYTE
0x318,8,2,32.0,29.0,31.0,30,56,13,59,59,59,0.028571,0.017021,0.019512,3.0,2.0,1.0,HIGH_LOW_HIGH_RAW_BYTE
0x318,8,6,49.0,47.0,49.0,47,35,49,30,30,30,0.062857,0.062979,0.063415,2.0,2.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
0x3E9,8,2,2.0,0.0,2.0,2,0,2,2,2,2,0.657718,0.532258,0.866667,2.0,2.0,0.0,HIGH_LOW_HIGH_RAW_BYTE
