rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
1,19.420,0x102,VCLEFT_doorStatus,VCLEFT_frontLatchSwitch,,25.000,打开驾驶门,yes,25.328300,+0.328300,1,0
1,19.420,0x102,VCLEFT_doorStatus,VCLEFT_frontLatchSwitch,,45.000,关闭驾驶门,yes,45.729700,+0.729700,0,1
1,19.420,0x102,VCLEFT_doorStatus,VCLEFT_frontLatchSwitch,,65.000,再次打开驾驶门,yes,64.987100,-0.012900,1,0
1,19.420,0x102,VCLEFT_doorStatus,VCLEFT_frontLatchSwitch,,85.000,再次关闭驾驶门,yes,86.088500,+1.088500,0,1
2,19.415,0x102,VCLEFT_doorStatus,VCLEFT_frontLatchStatus,,25.000,打开驾驶门,yes,25.148400,+0.148400,CLOSED,OPENED
2,19.415,0x102,VCLEFT_doorStatus,VCLEFT_frontLatchStatus,,45.000,关闭驾驶门,yes,45.729700,+0.729700,OPENED,CLOSED
2,19.415,0x102,VCLEFT_doorStatus,VCLEFT_frontLatchStatus,,65.000,再次打开驾驶门,yes,64.801300,-0.198700,CLOSED,OPENED
2,19.415,0x102,VCLEFT_doorStatus,VCLEFT_frontLatchStatus,,85.000,再次关闭驾驶门,yes,86.092600,+1.092600,OPENED,CLOSED
3,19.353,0x2E1,VCFRONT_status,VCFRONT_anyClosureOpen,,25.000,打开驾驶门,yes,25.169500,+0.169500,0,1
3,19.353,0x2E1,VCFRONT_status,VCFRONT_anyClosureOpen,,45.000,关闭驾驶门,yes,45.810900,+0.810900,1,0
3,19.353,0x2E1,VCFRONT_status,VCFRONT_anyClosureOpen,,65.000,再次打开驾驶门,yes,64.819900,-0.180100,0,1
3,19.353,0x2E1,VCFRONT_status,VCFRONT_anyClosureOpen,,85.000,再次关闭驾驶门,yes,86.133100,+1.133100,1,0
4,19.353,0x2E1,VCFRONT_status,VCFRONT_anyDoorOpen,,25.000,打开驾驶门,yes,25.169500,+0.169500,0,1
4,19.353,0x2E1,VCFRONT_status,VCFRONT_anyDoorOpen,,45.000,关闭驾驶门,yes,45.810900,+0.810900,1,0
4,19.353,0x2E1,VCFRONT_status,VCFRONT_anyDoorOpen,,65.000,再次打开驾驶门,yes,64.819900,-0.180100,0,1
4,19.353,0x2E1,VCFRONT_status,VCFRONT_anyDoorOpen,,85.000,再次关闭驾驶门,yes,86.133100,+1.133100,1,0
5,17.917,0x2E1,VCFRONT_status,VCFRONT_railBState,,25.000,打开驾驶门,yes,25.153600,+0.153600,0,1
5,17.917,0x2E1,VCFRONT_status,VCFRONT_railBState,,45.000,关闭驾驶门,yes,45.794700,+0.794700,1,0
5,17.917,0x2E1,VCFRONT_status,VCFRONT_railBState,,65.000,再次打开驾驶门,yes,64.899800,-0.100200,0,1
5,17.917,0x2E1,VCFRONT_status,VCFRONT_railBState,,85.000,再次关闭驾驶门,yes,86.117100,+1.117100,1,0
