rank,score,category,can_id,dlc,byte,bit_in_byte,absolute_bit,closed_value,vent_value,stable_purity,action_hits,unrelated_transitions,median_delay_s
1,100.00,稳定状态,0x1FA,3,0,5,5,0,1,1.0000,4,0,0.487650
2,32.00,瞬时请求候选,0x132,6,2,3,19,0,0,1.0000,4,0,0.086750
3,32.00,瞬时请求候选,0x132,6,2,4,20,1,1,1.0000,4,0,0.086750
4,32.00,瞬时请求候选,0x272,8,2,1,17,1,1,1.0000,4,0,0.173900
5,32.00,瞬时请求候选,0x272,8,3,3,27,0,0,1.0000,4,0,0.173200
6,32.00,瞬时请求候选,0x294,8,6,0,48,0,0,1.0000,4,0,0.049350
7,32.00,瞬时请求候选,0x294,8,6,1,49,0,0,1.0000,4,0,0.049350
8,32.00,瞬时请求候选,0x294,8,6,2,50,0,0,1.0000,4,0,0.049350
9,32.00,瞬时请求候选,0x294,8,6,3,51,0,0,1.0000,4,0,0.049350
10,32.00,瞬时请求候选,0x294,8,6,5,53,0,0,1.0000,4,0,0.049350
11,32.00,瞬时请求候选,0x2B4,6,4,5,37,0,0,1.0000,4,0,0.194550
12,32.00,瞬时请求候选,0x2B4,6,4,6,38,0,0,1.0000,4,0,0.194050
13,32.00,瞬时请求候选,0x2B4,6,4,7,39,0,0,1.0000,4,0,0.145150
14,32.00,瞬时请求候选,0x2C2,8,0,3,3,0,0,1.0000,4,0,0.068150
15,32.00,瞬时请求候选,0x2C2,8,1,2,10,0,0,1.0000,4,0,0.222150
16,32.00,瞬时请求候选,0x2C2,8,2,4,20,0,0,1.0000,4,0,0.121400
17,32.00,瞬时请求候选,0x2C2,8,4,3,35,0,0,1.0000,4,0,0.058450
18,32.00,瞬时请求候选,0x2C2,8,4,4,36,0,0,1.0000,4,0,0.419000
19,32.00,瞬时请求候选,0x2C2,8,5,1,41,0,0,1.0000,4,0,0.411900
20,32.00,瞬时请求候选,0x2C2,8,5,2,42,0,0,1.0000,4,0,0.105400
21,32.00,瞬时请求候选,0x2C2,8,5,3,43,0,0,1.0000,4,0,0.406750
22,32.00,瞬时请求候选,0x2C2,8,5,4,44,0,0,1.0000,4,0,0.068150
23,32.00,瞬时请求候选,0x2C2,8,5,5,45,0,0,1.0000,4,0,0.424150
