profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_hits,event_total,inside_transitions,outside_transitions,period_cv,stable_purity
generic-event,事件附近变化,122.734,0x372,3,6,,,10,10,40,216,0.8725100117478086,
generic-event,事件附近变化,122.663,0x3A8,0,1,,,10,10,30,227,0.20033618898728003,
generic-event,事件附近变化,122.534,0x3A8,0,2,,,10,10,20,237,0.5997592459690533,
generic-event,事件附近变化,122.534,0x3A8,2,0,,,10,10,20,237,0.5997592459690533,
generic-event,事件附近变化,122.534,0x3A8,2,1,,,10,10,20,237,0.5997592459690533,
generic-event,事件附近变化,122.374,0x324,1,2,,,10,10,10,115,0.15012777213688194,
generic-event,事件附近变化,121.804,0x352,0,1,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,1,2,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,1,4,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,1,6,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,2,3,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,2,4,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,2,6,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,2,7,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,3,1,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,3,4,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,3,6,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,4,7,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,5,0,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,5,2,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,5,3,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,5,6,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,6,2,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,7,1,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,7,2,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.804,0x352,7,6,,,10,10,15,113,0.1992479074680321,
generic-event,事件附近变化,121.520,0x712,6,1,,,10,10,37,269,1.0589637216679961,
generic-event,事件附近变化,121.501,0x401,0,4,,,10,10,20,238,0.3604271591497927,
generic-event,事件附近变化,121.105,0x320,0,7,,,10,10,40,217,0.6004586539243544,
generic-event,事件附近变化,121.089,0x285,3,3,,,10,10,60,455,0.7970492559373827,
generic-event,事件附近变化,121.089,0x285,4,4,,,10,10,60,455,0.7970492559373827,
generic-event,事件附近变化,121.005,0x285,1,1,,,10,10,60,454,0.7981772282971443,
generic-event,事件附近变化,121.005,0x285,1,7,,,10,10,60,454,0.7981772282971443,
generic-event,事件附近变化,121.005,0x285,2,1,,,10,10,60,454,0.5940615000356659,
generic-event,事件附近变化,121.005,0x285,2,7,,,10,10,60,454,0.5940615000356659,
generic-event,事件附近变化,121.005,0x285,3,6,,,10,10,60,454,0.5940615000356659,
generic-event,事件附近变化,121.005,0x285,4,0,,,10,10,60,454,0.7981772282971443,
