profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,90.106,0x2B4,4,5,,14.119582108876527,6,10,15,7,1.7354272719523527
generic-event,事件附近变化,85.143,0x2B4,4,6,,11.306486779407399,6,10,9,5,1.1419033228402662
generic-event,事件附近变化,85.143,0x2B4,4,7,,11.306486779407399,6,10,9,5,1.1419033228402662
generic-event,事件附近变化,85.143,0x2B4,5,0,,11.306486779407399,6,10,9,5,1.1419033228402662
generic-event,事件附近变化,83.932,0x545,1,2,EXP_windowMotionFeedback_LEFT,3.9266065305922866,7,10,46,88,4.527856929481779
generic-event,事件附近变化,83.353,0x272,2,0,,3.342694651666389,7,10,29,65,3.722941940734079
window,运动过程,77.657,0x2B4,4,6,,14.013147317323172,6,6,13,1,
window,运动过程,77.657,0x2B4,4,7,,14.013147317323172,6,6,13,1,
window,运动过程,77.657,0x2B4,5,0,,14.013147317323172,6,6,13,1,
window,运动过程,75.797,0x2C2,4,7,EXP_leftWindowExecutionPosition,17.794854390495942,6,6,109,11,
window,运动过程,75.710,0x272,2,0,,16.713962121099808,6,6,85,9,
window,运动过程,75.242,0x7A8,0,2,,14.190079974943396,6,6,50,6,
window,运动过程,74.414,0x545,1,2,EXP_windowMotionFeedback_LEFT,15.626560156477336,6,6,120,14,
window,运动过程,74.019,0x2C2,1,2,EXP_leftWindowExecutionPosition,13.574869991195891,6,6,76,10,
window,运动过程,73.516,0x2C2,2,4,EXP_leftWindowExecutionPosition,13.260977167603468,6,6,88,12,
window,运动过程,72.353,0x2C2,2,2,EXP_leftWindowExecutionPosition,30.063618696582623,5,6,44,2,
generic-event,事件附近变化,71.932,0x2C2,4,7,EXP_leftWindowExecutionPosition,3.094846933821012,6,10,35,85,4.217924985357901
window,运动过程,71.026,0x2B4,4,5,,22.354306434777442,5,6,21,1,
window,运动过程,70.514,0x788,0,2,,23.298627990780954,5,6,34,2,
window,运动过程,70.353,0x545,1,1,EXP_windowMotionFeedback_LEFT,28.81902840272009,5,6,102,6,
generic-event,事件附近变化,70.227,0x7A8,0,2,,3.2405535966563574,6,10,17,39,2.903943821102924
window,运动过程,68.219,0x2C2,2,1,EXP_leftWindowExecutionPosition,6.363589676538798,6,6,42,12,
generic-event,事件附近变化,63.811,0x3C2,4,2,VCLEFT_switchStatus_EXP,60.84710736198137,3,10,17,1,2.700991504024307
generic-event,事件附近变化,61.813,0x23A,4,0,,4.799725931400271,4,10,5,7,1.3221588937557467
generic-event,事件附近变化,60.552,0x788,0,2,,3.665715953561558,5,10,12,24,2.4899914817771553
window,运动过程,60.370,0x382,1,0,,5.70965215569661,5,6,8,2,
generic-event,事件附近变化,59.611,0x23A,4,7,,4.799725931400271,4,10,5,7,1.4084881947636008
generic-event,事件附近变化,48.073,0x373,0,2,,14.333333333333334,2,10,2,0,
generic-event,事件附近变化,46.227,0x3C2,4,1,VCLEFT_switchStatus_EXP,7.297576216637713,3,10,25,25,4.6668051452829795
generic-event,事件附近变化,45.614,0x23A,5,1,,3.444463851390074,3,10,4,8,1.3082679005321352
generic-event,事件附近变化,45.592,0x23A,2,2,,3.444463851390074,3,10,4,8,1.6422101331387042
generic-event,事件附近变化,43.675,0x23E,1,3,,3.835627283475727,3,10,7,13,1.5221824702017464
generic-event,事件附近变化,43.412,0x23A,5,0,,3.444463851390074,3,10,4,8,1.388422194281817
generic-event,事件附近变化,43.390,0x23A,3,4,,3.444463851390074,3,10,4,8,1.733400977998707
generic-event,事件附近变化,43.390,0x23A,4,6,,3.444463851390074,3,10,4,8,1.733400977998707
generic-event,事件附近变化,43.375,0x3C2,4,0,VCLEFT_switchStatus_EXP,12.031012661759338,2,10,8,4,3.0743144762886776
generic-event,事件附近变化,38.595,0x23A,6,7,,5.7738628613246945,2,10,3,3,1.1452211476569554
generic-event,事件附近变化,38.595,0x23A,7,3,,5.7738628613246945,2,10,3,3,1.1452211476569554
generic-event,事件附近变化,36.393,0x23A,5,6,,5.7738628613246945,2,10,3,3,1.1452109575663227
generic-event,事件附近变化,36.393,0x23A,6,0,,5.7738628613246945,2,10,3,3,1.1452109575663227
generic-event,事件附近变化,36.393,0x23A,6,6,,5.7738628613246945,2,10,3,3,1.1452109575663227
generic-event,事件附近变化,36.393,0x23A,7,5,,5.7738628613246945,2,10,3,3,1.1452109575663227
generic-event,事件附近变化,34.558,0x3A3,1,4,,4.409621112839355,2,10,4,6,1.6447561788807217
generic-event,事件附近变化,34.558,0x3A3,1,5,,4.409621112839355,2,10,4,6,1.6447561788807217
generic-event,事件附近变化,32.744,0x3A1,5,2,,4.409621112839355,2,10,4,6,1.7119952777483483
generic-event,事件附近变化,31.991,0x622,2,0,,3.6418045826851606,2,10,10,20,1.2611098040147293
generic-event,事件附近变化,30.788,0x23A,6,3,,3.1738254261082917,2,10,2,4,1.0677262982234779
generic-event,事件附近变化,-7.186,0x32A,4,3,,3.1738254261082917,2,10,2,4,4.317380724689348e-05
