rank,can_id,20s 按下驾驶窗手动下降按钮,22s 松开驾驶窗下降按钮,37s 按下（轻拉）驾驶窗手动上升按钮,42s 松开驾驶窗上升按钮,57s 按下驾驶窗自动下降档,72s 按下（拉到底）驾驶窗自动上升档,87s 再次按下驾驶窗手动下降按钮,89s 松开驾驶窗下降按钮,104s 再次按下（轻拉）驾驶窗手动上升按钮,109s 松开驾驶窗上升按钮
1,0x3C2,20bit/573次,19bit/570次,21bit/585次,19bit/570次,21bit/586次,20bit/575次,20bit/572次,20bit/574次,21bit/583次,19bit/570次
2,0x2B4,12bit/80次,9bit/66次,14bit/77次,9bit/68次,15bit/69次,13bit/65次,10bit/67次,13bit/63次,13bit/69次,8bit/55次
3,0x2C2,26bit/394次,25bit/375次,35bit/438次,20bit/300次,39bit/435次,34bit/429次,38bit/447次,30bit/420次,35bit/413次,25bit/360次
4,0x272,23bit/330次,22bit/330次,23bit/330次,22bit/330次,23bit/330次,23bit/330次,23bit/330次,23bit/330次,23bit/330次,22bit/330次
5,0x7A8,43bit/402次,41bit/399次,43bit/400次,42bit/402次,43bit/406次,43bit/400次,42bit/402次,42bit/396次,43bit/404次,44bit/401次
6,0x545,42bit/818次,40bit/898次,43bit/838次,39bit/861次,42bit/896次,42bit/869次,42bit/886次,41bit/889次,43bit/852次,40bit/875次
7,0x23A,47bit/66次,31bit/32次,2bit/3次,2bit/3次,45bit/62次,12bit/23次,2bit/3次,3bit/4次,28bit/35次,12bit/23次
8,0x788,41bit/376次,41bit/381次,44bit/383次,40bit/382次,41bit/379次,41bit/391次,41bit/380次,42bit/384次,44bit/391次,40bit/382次
9,0x2C4,59bit/272次,60bit/255次,62bit/280次,61bit/305次,60bit/264次,57bit/216次,59bit/234次,57bit/233次,59bit/270次,61bit/301次
10,0x3A1,39bit/936次,39bit/930次,41bit/908次,39bit/944次,38bit/882次,41bit/862次,39bit/904次,39bit/870次,40bit/890次,39bit/942次
11,0x132,18bit/981次,14bit/951次,17bit/928次,14bit/947次,14bit/854次,17bit/857次,14bit/924次,14bit/904次,16bit/944次,15bit/922次
12,0x373,0bit/0次,1bit/1次,1bit/1次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,3bit/3次,3bit/3次,0bit/0次
13,0x45A,29bit/870次,29bit/870次,28bit/840次,29bit/840次,26bit/764次,27bit/810次,30bit/900次,30bit/900次,27bit/810次,27bit/810次
14,0x319,7bit/7次,18bit/18次,1bit/1次,21bit/21次,2bit/2次,21bit/21次,32bit/32次,24bit/24次,7bit/7次,19bit/19次
15,0x234,33bit/781次,33bit/792次,36bit/710次,32bit/702次,32bit/664次,33bit/707次,34bit/719次,35bit/720次,36bit/696次,33bit/767次
16,0x361,0bit/0次,0bit/0次,3bit/3次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,3bit/3次,3bit/3次
17,0x3A2,45bit/1263次,45bit/1301次,50bit/1280次,47bit/1287次,48bit/1228次,47bit/1265次,46bit/1258次,46bit/1293次,49bit/1287次,46bit/1319次
18,0x303,6bit/9次,36bit/37次,25bit/28次,41bit/46次,21bit/41次,6bit/9次,36bit/37次,25bit/28次,35bit/39次,21bit/41次
19,0x330,22bit/22次,28bit/35次,41bit/54次,28bit/35次,41bit/54次,28bit/35次,41bit/54次,29bit/29次,32bit/32次,29bit/29次
20,0x709,31bit/49次,44bit/81次,34bit/65次,35bit/53次,28bit/74次,25bit/32次,24bit/77次,24bit/46次,40bit/63次,34bit/65次
21,0x302,29bit/38次,43bit/52次,26bit/31次,41bit/46次,30bit/42次,29bit/38次,43bit/52次,26bit/31次,35bit/37次,30bit/42次
22,0x301,24bit/45次,33bit/34次,26bit/33次,34bit/50次,22bit/25次,24bit/45次,33bit/34次,26bit/33次,40bit/45次,22bit/25次
23,0x3F2,36bit/52次,28bit/45次,42bit/55次,42bit/59次,28bit/42次,37bit/53次,20bit/28次,34bit/42次,34bit/48次,42bit/54次
24,0x300,31bit/38次,27bit/46次,44bit/56次,41bit/62次,33bit/35次,41bit/62次,33bit/35次,47bit/55次,31bit/38次,44bit/56次
25,0x372,60bit/453次,60bit/459次,59bit/457次,59bit/463次,58bit/453次,59bit/459次,60bit/463次,59bit/465次,59bit/473次,60bit/457次
26,0x727,2bit/3次,3bit/4次,3bit/4次,4bit/5次,3bit/4次,2bit/3次,2bit/3次,4bit/5次,2bit/3次,3bit/4次
27,0x53E,0bit/0次,0bit/0次,16bit/16次,0bit/0次,16bit/16次,0bit/0次,16bit/16次,37bit/37次,20bit/20次,37bit/37次
28,0x70B,26bit/46次,17bit/26次,47bit/67次,17bit/26次,47bit/67次,17bit/26次,47bit/67次,34bit/47次,30bit/36次,34bit/47次
29,0x400,8bit/8次,11bit/15次,0bit/0次,0bit/0次,15bit/32次,0bit/0次,0bit/0次,0bit/0次,5bit/9次,5bit/9次
30,0x382,0bit/0次,0bit/0次,1bit/1次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次
