profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
window,按钮事件:手动上升触发,89.490,0x3C2,4,0,VCLEFT_switchStatus_EXP,64.02580647042839,1.0,2,2,8,4,3.0743144762886776
window,按钮事件:手动上升触发,83.240,0x3C2,4,1,VCLEFT_switchStatus_EXP,26.862961253631727,1.0,2,2,20,30,4.6668051452829795
window,按钮事件:上升触发,83.023,0x3C2,4,1,VCLEFT_switchStatus_EXP,26.353623412917944,1.0,3,3,25,25,4.6668051452829795
window,运动过程,77.657,0x2B4,4,6,,14.013147317323172,,6,6,13,1,
window,运动过程,77.657,0x2B4,4,7,,14.013147317323172,,6,6,13,1,
window,运动过程,77.657,0x2B4,5,0,,14.013147317323172,,6,6,13,1,
window,运动过程,75.797,0x2C2,4,7,EXP_leftWindowExecutionPosition,17.794854390495942,,6,6,109,11,
window,运动过程,75.710,0x272,2,0,,16.713962121099808,,6,6,85,9,
window,运动过程,75.242,0x7A8,0,2,,14.190079974943396,,6,6,50,6,
window,按钮事件:上升触发,74.490,0x3C2,4,0,VCLEFT_switchStatus_EXP,42.37444541639236,0.6666666666666666,2,3,8,4,3.0743144762886776
window,运动过程,74.414,0x545,1,2,EXP_windowMotionFeedback_LEFT,15.626560156477336,,6,6,120,14,
window,按钮事件:手动上升触发,74.400,0x2B4,4,5,,11.549219754175363,1.0,2,2,5,17,1.7354272719523527
window,按钮事件:上升触发,74.271,0x2B4,4,5,,11.977091971699862,1.0,3,3,7,15,1.7354272719523527
window,运动过程,74.019,0x2C2,1,2,EXP_leftWindowExecutionPosition,13.574869991195891,,6,6,76,10,
window,按钮事件:下降触发,73.777,0x3C2,4,2,VCLEFT_switchStatus_EXP,57.703687791586425,0.6666666666666666,2,3,13,5,2.700991504024307
window,运动过程,73.516,0x2C2,2,4,EXP_leftWindowExecutionPosition,13.260977167603468,,6,6,88,12,
window,按钮事件:手动上升触发,73.424,0x2B4,4,6,,10.362517460564538,1.0,2,2,3,11,1.1419033228402662
window,按钮事件:手动上升触发,73.424,0x2B4,4,7,,10.362517460564538,1.0,2,2,3,11,1.1419033228402662
window,按钮事件:手动上升触发,73.424,0x2B4,5,0,,10.362517460564538,1.0,2,2,3,11,1.1419033228402662
window,按钮事件:手动上升触发,73.224,0x2C4,0,7,,12.742900297906619,1.0,2,2,4,12,1.32253432791646
window,运动过程,72.353,0x2C2,2,2,EXP_leftWindowExecutionPosition,30.063618696582623,,5,6,44,2,
window,按钮事件:上升触发,71.937,0x2B4,4,6,,9.93521892747874,1.0,3,3,4,10,1.1419033228402662
window,按钮事件:上升触发,71.937,0x2B4,4,7,,9.93521892747874,1.0,3,3,4,10,1.1419033228402662
window,按钮事件:上升触发,71.937,0x2B4,5,0,,9.93521892747874,1.0,3,3,4,10,1.1419033228402662
window,运动过程,71.026,0x2B4,4,5,,22.354306434777442,,5,6,21,1,
window,按钮事件:手动上升触发,70.685,0x132,4,4,,7.714570901597721,1.0,2,2,44,238,9.301792108581237
window,按钮事件:手动上升触发,70.685,0x132,4,5,,7.714570901597721,1.0,2,2,44,238,9.301792108581237
window,按钮事件:下降触发,70.650,0x23A,6,7,,19.818897056270075,0.6666666666666666,2,3,3,3,1.1452211476569554
window,按钮事件:下降触发,70.650,0x23A,7,3,,19.818897056270075,0.6666666666666666,2,3,3,3,1.1452211476569554
window,运动过程,70.514,0x788,0,2,,23.298627990780954,,5,6,34,2,
window,运动过程,70.353,0x545,1,1,EXP_windowMotionFeedback_LEFT,28.81902840272009,,5,6,102,6,
window,按钮事件:手动下降触发,70.307,0x45A,7,1,,3.693906006676576,1.0,2,2,60,680,10.064616226646486
window,按钮事件:手动下降松开,70.300,0x45A,7,1,,3.693906006676576,1.0,2,2,60,680,10.064616226646486
window,按钮事件:手动上升触发,69.904,0x2C2,2,1,EXP_leftWindowExecutionPosition,8.183391312246876,1.0,2,2,9,45,2.8267582203557375
window,按钮事件:手动下降触发,69.718,0x319,1,1,,3.6589763418919894,1.0,2,2,2,22,1.1924007389200577
window,按钮事件:手动上升松开,69.688,0x319,1,1,,3.6589763418919894,1.0,2,2,2,22,1.1924007389200577
window,按钮事件:手动下降松开,69.369,0x319,5,0,,3.5081381293956455,1.0,2,2,2,23,0.983999893686881
window,按钮事件:手动下降松开,69.369,0x319,5,7,,3.5081381293956455,1.0,2,2,2,23,0.983999893686881
