rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
1,16.187,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLF,,20.000,按下驾驶窗手动下降按钮,yes,20.914100,+0.914100,0,1
1,16.187,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLF,,22.000,松开驾驶窗下降按钮,yes,21.073700,-0.926300,1,0
1,16.187,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLF,,37.000,按下（轻拉）驾驶窗手动上升按钮,no,,,0,0
1,16.187,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLF,,42.000,松开驾驶窗上升按钮,no,,,0,0
1,16.187,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLF,,57.000,按下驾驶窗自动下降档,yes,57.026700,+0.026700,0,1
1,16.187,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLF,,72.000,按下（拉到底）驾驶窗自动上升档,no,,,0,0
1,16.187,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLF,,87.000,再次按下驾驶窗手动下降按钮,no,,,0,0
1,16.187,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLF,,89.000,松开驾驶窗下降按钮,yes,89.759800,+0.759800,0,1
1,16.187,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLF,,104.000,再次按下（轻拉）驾驶窗手动上升按钮,no,,,0,0
1,16.187,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLF,,109.000,松开驾驶窗上升按钮,no,,,0,0
2,14.192,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackAutoUpLF,,20.000,按下驾驶窗手动下降按钮,no,,,0,0
2,14.192,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackAutoUpLF,,22.000,松开驾驶窗下降按钮,no,,,0,0
2,14.192,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackAutoUpLF,,37.000,按下（轻拉）驾驶窗手动上升按钮,yes,37.346400,+0.346400,0,1
2,14.192,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackAutoUpLF,,42.000,松开驾驶窗上升按钮,no,,,0,0
2,14.192,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackAutoUpLF,,57.000,按下驾驶窗自动下降档,no,,,0,0
2,14.192,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackAutoUpLF,,72.000,按下（拉到底）驾驶窗自动上升档,yes,72.749000,+0.749000,0,1
2,14.192,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackAutoUpLF,,87.000,再次按下驾驶窗手动下降按钮,no,,,0,0
2,14.192,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackAutoUpLF,,89.000,松开驾驶窗下降按钮,no,,,0,0
2,14.192,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackAutoUpLF,,104.000,再次按下（轻拉）驾驶窗手动上升按钮,yes,104.519900,+0.519900,0,1
2,14.192,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackAutoUpLF,,109.000,松开驾驶窗上升按钮,no,,,0,0
3,10.633,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackUpLF,,20.000,按下驾驶窗手动下降按钮,no,,,0,0
3,10.633,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackUpLF,,22.000,松开驾驶窗下降按钮,no,,,0,0
3,10.633,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackUpLF,,37.000,按下（轻拉）驾驶窗手动上升按钮,yes,37.274200,+0.274200,0,1
3,10.633,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackUpLF,,42.000,松开驾驶窗上升按钮,no,,,0,0
3,10.633,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackUpLF,,57.000,按下驾驶窗自动下降档,no,,,0,0
3,10.633,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackUpLF,,72.000,按下（拉到底）驾驶窗自动上升档,no,,,0,0
3,10.633,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackUpLF,,87.000,再次按下驾驶窗手动下降按钮,no,,,0,0
3,10.633,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackUpLF,,89.000,松开驾驶窗下降按钮,no,,,0,0
3,10.633,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackUpLF,,104.000,再次按下（轻拉）驾驶窗手动上升按钮,yes,104.460400,+0.460400,0,1
3,10.633,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackUpLF,,109.000,松开驾驶窗上升按钮,no,,,0,0
4,8.559,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLR,,20.000,按下驾驶窗手动下降按钮,no,,,0,0
4,8.559,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLR,,22.000,松开驾驶窗下降按钮,no,,,0,0
4,8.559,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLR,,37.000,按下（轻拉）驾驶窗手动上升按钮,no,,,0,0
4,8.559,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLR,,42.000,松开驾驶窗上升按钮,no,,,0,0
4,8.559,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLR,,57.000,按下驾驶窗自动下降档,no,,,0,0
4,8.559,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLR,,72.000,按下（拉到底）驾驶窗自动上升档,no,,,0,0
4,8.559,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLR,,87.000,再次按下驾驶窗手动下降按钮,yes,87.559400,+0.559400,0,1
4,8.559,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLR,,89.000,松开驾驶窗下降按钮,yes,87.677600,-1.322400,1,0
4,8.559,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLR,,104.000,再次按下（轻拉）驾驶窗手动上升按钮,no,,,0,0
4,8.559,0x3C2,VCLEFT_switchStatus,VCLEFT_btnWindowSwPackDownLR,,109.000,松开驾驶窗上升按钮,no,,,0,0
