rank,score,can_id,byte,bit_in_byte,motion_hits,inside_transitions,outside_transitions,activity_enrichment
1,77.657,0x2B4,4,6,6,13,1,14.013
2,77.657,0x2B4,4,7,6,13,1,14.013
3,77.657,0x2B4,5,0,6,13,1,14.013
4,75.797,0x2C2,4,7,6,109,11,17.795
5,75.710,0x272,2,0,6,85,9,16.714
6,75.242,0x7A8,0,2,6,50,6,14.190
7,74.414,0x545,1,2,6,120,14,15.627
8,74.019,0x2C2,1,2,6,76,10,13.575
9,73.516,0x2C2,2,4,6,88,12,13.261
10,72.353,0x2C2,2,2,5,44,2,30.064
11,71.026,0x2B4,4,5,5,21,1,22.354
12,70.514,0x788,0,2,5,34,2,23.299
13,70.353,0x545,1,1,5,102,6,28.819
14,68.219,0x2C2,2,1,6,42,12,6.364
15,60.370,0x382,1,0,5,8,2,5.710
