rank,score,category,can_id,dlc,byte,bit_in_byte,closed_value,open_value,stable_purity,action_hits,unrelated_transitions,median_delay_s
1,72.400,瞬时请求候选,0x3BD,8,0,3,0,0,0.7857,10,38,1.824000
2,71.800,瞬时请求候选,0x3BD,8,0,1,不一致,不一致,0.5893,10,41,0.825550
3,71.800,瞬时请求候选,0x70B,8,0,1,不一致,不一致,0.5893,10,41,0.952400
4,71.800,瞬时请求候选,0x737,7,0,1,不一致,不一致,0.5893,10,41,0.325700
5,71.600,瞬时请求候选,0x3BD,8,1,1,0,0,0.7500,10,42,1.824000
6,70.400,瞬时请求候选,0x23A,8,0,1,1,1,0.5000,10,48,0.276050
7,69.200,瞬时请求候选,0x3DB,8,0,3,0,0,0.6250,10,54,0.816150
8,68.600,瞬时请求候选,0x70B,8,3,1,0,不一致,0.6429,10,57,0.952400
9,68.400,瞬时请求候选,0x726,3,0,1,不一致,1,0.5179,10,58,1.695200
10,68.200,瞬时请求候选,0x70B,8,1,2,不一致,不一致,0.5893,10,59,-0.046500
11,68.200,瞬时请求候选,0x70B,8,1,7,0,0,0.7321,10,59,0.455700
12,68.000,瞬时请求候选,0x52F,8,6,2,不一致,1,0.5893,10,60,0.857050
13,67.600,瞬时请求候选,0x7C8,8,0,1,1,1,0.5536,10,62,0.523100
14,67.600,瞬时请求候选,0x7E8,8,0,1,1,1,0.5357,10,62,0.514600
15,67.400,瞬时请求候选,0x319,8,0,1,1,不一致,0.5357,10,63,1.056650
16,67.400,瞬时请求候选,0x330,8,0,1,1,1,0.5204,10,63,0.871100
17,66.600,瞬时请求候选,0x301,8,0,1,不一致,不一致,0.5714,10,67,0.526450
18,66.600,瞬时请求候选,0x302,8,0,1,不一致,不一致,0.5714,10,67,0.553800
19,66.600,瞬时请求候选,0x303,8,0,1,不一致,不一致,0.5714,10,67,0.622250
20,66.600,瞬时请求候选,0x330,8,4,0,不一致,不一致,0.5442,10,67,0.871500
21,66.600,瞬时请求候选,0x330,8,5,0,不一致,0,0.6156,10,67,0.871650
22,66.000,瞬时请求候选,0x3F2,8,2,7,1,1,0.5536,10,70,0.723500
