rank,score,can_id,byte,bit_in_byte,motion_hits,inside_transitions,outside_transitions,activity_enrichment
1,70.000,0x234,0,4,4,146,0,541.741
2,70.000,0x2C3,1,2,4,78,0,289.889
3,70.000,0x2C3,2,1,4,48,0,178.778
4,70.000,0x2C3,2,4,4,72,0,267.667
5,70.000,0x2C3,4,7,4,96,0,356.556
6,70.000,0x343,5,0,4,30,0,112.111
7,70.000,0x343,5,1,4,20,0,75.074
8,70.000,0x343,5,3,4,20,0,75.074
9,70.000,0x545,2,6,4,84,0,312.111
10,70.000,0x545,2,7,4,90,0,334.333
11,60.000,0x132,4,4,3,198,0,734.333
12,60.000,0x132,4,5,3,198,0,734.333
13,60.000,0x2C3,2,2,3,40,0,149.148
14,60.000,0x2C3,4,6,3,54,0,201.000
15,60.000,0x2C3,5,0,3,54,0,201.000
16,60.000,0x393,2,1,3,50,0,186.185
17,59.916,0x23A,0,4,4,4,0,15.815
18,57.629,0x7A8,2,4,4,58,6,19.755
19,57.530,0x343,5,2,3,12,0,45.444
20,54.684,0x2B4,4,7,3,8,0,30.630
21,54.684,0x2B4,5,0,3,8,0,30.630
22,52.775,0x400,0,7,4,9,2,7.969
23,47.541,0x788,6,4,4,46,16,6.239
24,43.006,0x550,2,0,3,5,1,7.354
25,43.006,0x550,6,2,3,5,1,7.354
26,43.006,0x550,6,4,3,5,1,7.354
27,39.955,0x75D,2,0,3,6,2,5.390
28,38.701,0x550,4,3,3,5,2,4.531
29,38.701,0x550,4,4,3,5,2,4.531
30,36.820,0x2B4,0,4,3,8,4,4.022
