rank,score,category,can_id,dlc,byte,bit_in_byte,closed_value,open_value,stable_purity,action_hits,unrelated_transitions,median_delay_s
1,94.700,稳定状态,0x23A,8,0,4,0,1,1.0000,3,2,0.789400
2,43.400,瞬时请求候选,0x300,8,4,2,1,1,0.7000,6,23,0.755700
3,43.000,瞬时请求候选,0x3BD,8,1,3,0,0,0.8500,6,25,-0.156400
4,43.000,瞬时请求候选,0x3BD,8,1,4,0,0,0.8500,6,25,-0.156400
5,43.000,瞬时请求候选,0x70B,8,0,1,不一致,0,0.6250,6,25,-0.030850
6,43.000,瞬时请求候选,0x70B,8,1,0,0,0,0.6750,6,25,0.468500
7,43.000,瞬时请求候选,0x70B,8,1,1,0,0,0.7750,6,25,0.969200
8,43.000,瞬时请求候选,0x70B,8,1,3,不一致,不一致,0.5750,6,25,0.468500
9,43.000,瞬时请求候选,0x70B,8,1,4,0,0,0.6750,6,25,0.969200
10,43.000,瞬时请求候选,0x70B,8,2,1,0,0,0.8500,6,25,-0.031350
11,43.000,瞬时请求候选,0x70B,8,2,3,0,0,0.6250,6,25,0.468500
12,43.000,瞬时请求候选,0x70B,8,2,7,0,0,0.7250,6,25,-0.030850
13,43.000,瞬时请求候选,0x70B,8,3,3,0,0,0.6750,6,25,0.468500
14,43.000,瞬时请求候选,0x70B,8,4,0,0,0,0.8500,6,25,-0.031350
15,43.000,瞬时请求候选,0x70B,8,5,5,0,0,0.7250,6,25,-0.030850
16,42.800,瞬时请求候选,0x70B,8,4,2,不一致,不一致,0.5750,6,26,-0.031350
17,42.800,瞬时请求候选,0x752,8,4,0,0,0,0.7250,6,26,0.594500
18,42.600,瞬时请求候选,0x310,8,1,0,1,1,0.6400,6,27,1.172350
19,42.400,瞬时请求候选,0x330,8,5,2,0,0,0.6762,6,28,0.164600
20,42.400,瞬时请求候选,0x330,8,5,5,0,0,0.6762,6,28,0.164600
21,42.400,瞬时请求候选,0x3BD,8,0,1,不一致,0,0.6000,6,28,0.842850
22,42.400,瞬时请求候选,0x3BD,8,1,6,0,0,0.7500,6,28,1.842950
23,42.400,瞬时请求候选,0x3BD,8,1,7,0,0,0.7500,6,28,1.842950
24,42.400,瞬时请求候选,0x70B,8,4,6,0,0,0.7000,6,28,1.468150
25,42.400,瞬时请求候选,0x70B,8,5,6,0,0,0.7000,6,28,1.468150
26,42.400,瞬时请求候选,0x70B,8,7,6,0,0,0.7500,6,28,1.968150
27,42.400,瞬时请求候选,0x724,3,0,1,不一致,0,0.6250,6,28,1.742600
28,42.200,瞬时请求候选,0x330,8,1,2,不一致,不一致,0.5571,6,29,1.164550
29,42.200,瞬时请求候选,0x330,8,6,0,不一致,不一致,0.5571,6,29,1.164550
30,42.200,瞬时请求候选,0x330,8,7,4,不一致,不一致,0.5571,6,29,1.164550
31,42.200,瞬时请求候选,0x3BD,8,0,3,0,0,0.7750,6,29,-0.156400
32,42.200,瞬时请求候选,0x3BD,8,1,2,0,0,0.7750,6,29,-0.156400
33,41.600,瞬时请求候选,0x23A,8,0,1,不一致,1,0.5250,6,32,-0.209450
34,41.600,瞬时请求候选,0x3F2,8,1,5,1,不一致,0.6250,6,32,-0.242950
35,41.600,瞬时请求候选,0x752,8,0,1,1,不一致,0.5250,6,32,1.094050
36,41.400,瞬时请求候选,0x3F2,8,2,6,不一致,0,0.6750,6,33,-0.242700
37,41.200,瞬时请求候选,0x321,8,7,5,1,不一致,0.5250,6,34,-0.056650
38,41.200,瞬时请求候选,0x3F2,8,1,6,1,1,0.6750,6,34,-0.242700
39,41.200,瞬时请求候选,0x3F2,8,2,1,不一致,0,0.6250,6,34,0.257200
40,41.200,瞬时请求候选,0x3F2,8,6,6,不一致,不一致,0.5500,6,34,-0.242350
41,41.000,瞬时请求候选,0x3F2,8,1,3,1,1,0.6500,6,35,0.257550
42,41.000,瞬时请求候选,0x3F2,8,4,7,不一致,0,0.6000,6,35,0.256950
43,40.800,瞬时请求候选,0x324,8,0,6,不一致,0,0.6250,6,36,0.345200
44,40.800,瞬时请求候选,0x366,8,2,1,0,0,0.7500,6,36,0.418700
45,40.800,瞬时请求候选,0x366,8,2,2,0,0,0.7500,6,36,0.418700
46,40.800,瞬时请求候选,0x366,8,2,3,0,0,0.7500,6,36,0.418700
47,40.800,瞬时请求候选,0x366,8,2,4,0,0,0.7500,6,36,0.418700
48,40.800,瞬时请求候选,0x366,8,2,5,0,0,0.7500,6,36,0.418700
49,40.800,瞬时请求候选,0x366,8,2,6,0,0,0.7500,6,36,0.418700
50,40.800,瞬时请求候选,0x366,8,2,7,0,0,0.7500,6,36,0.418700
51,40.800,瞬时请求候选,0x366,8,3,1,0,0,0.7500,6,36,0.418700
52,40.800,瞬时请求候选,0x366,8,3,2,0,0,0.7500,6,36,0.418700
53,40.800,瞬时请求候选,0x366,8,3,3,0,0,0.7500,6,36,0.418700
54,40.800,瞬时请求候选,0x366,8,3,4,0,0,0.7500,6,36,0.418700
55,40.800,瞬时请求候选,0x366,8,3,5,0,0,0.7500,6,36,0.418700
56,40.800,瞬时请求候选,0x366,8,3,6,0,0,0.7500,6,36,0.418700
57,40.800,瞬时请求候选,0x366,8,3,7,0,0,0.7500,6,36,0.418700
58,40.800,瞬时请求候选,0x3DB,8,0,2,0,0,0.6250,6,36,0.579850
59,40.800,瞬时请求候选,0x3DB,8,1,6,0,0,0.8750,6,36,0.580750
60,40.800,瞬时请求候选,0x3DB,8,3,1,0,0,0.8750,6,36,0.580750
61,40.800,瞬时请求候选,0x3DB,8,3,2,0,0,0.7500,6,36,0.580950
