rank,score,can_id,byte,bit_in_byte,motion_hits,inside_transitions,outside_transitions,activity_enrichment
1,70.000,0x2C3,4,2,4,56,0,208.407
2,70.000,0x2C3,5,2,4,42,0,156.556
3,70.000,0x2C3,5,3,4,22,0,82.481
4,70.000,0x2C3,5,4,4,42,0,156.556
5,70.000,0x2C3,5,5,4,30,0,112.111
6,70.000,0x2C3,5,6,4,66,0,245.444
7,70.000,0x2C3,6,0,4,32,0,119.519
8,70.000,0x2C3,6,3,4,54,0,201.000
9,70.000,0x2C3,7,0,4,20,0,75.074
10,70.000,0x3A1,3,7,4,86,0,319.519
11,70.000,0x545,2,6,4,48,0,178.778
12,68.619,0x2C3,5,1,4,14,0,52.852
13,67.530,0x343,5,3,4,12,0,45.444
14,66.247,0x2C3,5,0,4,10,0,38.037
15,60.000,0x2C3,4,3,3,48,0,178.778
16,60.000,0x2C3,5,7,3,20,0,75.074
17,60.000,0x2C3,6,2,3,20,0,75.074
18,60.000,0x343,5,2,3,18,0,67.667
19,60.000,0x393,2,1,3,26,0,97.296
20,60.000,0x545,2,7,3,52,0,193.593
21,58.619,0x343,5,0,3,14,0,52.852
22,58.619,0x343,5,1,3,14,0,52.852
23,57.079,0x323,0,1,4,9,1,12.933
24,55.326,0x323,0,0,4,7,1,10.143
25,55.326,0x323,0,2,4,7,1,10.143
26,48.380,0x2B4,4,6,4,10,4,4.993
27,46.818,0x2B4,4,5,4,8,4,4.020
28,42.554,0x3A1,3,6,4,86,46,4.143
29,40.316,0x788,0,2,3,25,7,7.438
