rank,score,category,can_id,dlc,byte,bit_in_byte,closed_value,open_value,stable_purity,action_hits,unrelated_transitions,median_delay_s
1,79.250,稳定状态,0x23A,8,0,4,0,1,1.0000,0,5,
2,44.600,瞬时请求候选,0x7E8,8,3,1,0,0,0.8250,6,17,-0.152400
3,44.600,瞬时请求候选,0x7E8,8,4,6,0,0,0.8250,6,17,-0.152400
4,44.600,瞬时请求候选,0x7E8,8,5,4,0,0,0.8250,6,17,-0.152400
5,44.600,瞬时请求候选,0x7E8,8,6,7,0,0,0.8250,6,17,-0.152400
6,44.400,瞬时请求候选,0x7E8,8,4,0,0,0,0.6750,6,18,0.846500
7,44.400,瞬时请求候选,0x7E8,8,6,1,0,0,0.6750,6,18,0.846500
8,44.400,瞬时请求候选,0x7E8,8,6,2,0,0,0.6750,6,18,0.846500
9,44.200,瞬时请求候选,0x7C8,8,6,0,0,0,0.6750,6,19,0.850750
10,44.200,瞬时请求候选,0x7C8,8,6,1,0,0,0.6750,6,19,0.850750
11,44.200,瞬时请求候选,0x7C8,8,6,4,0,0,0.6750,6,19,0.850750
12,43.000,瞬时请求候选,0x310,8,0,1,0,0,0.6000,6,25,1.476950
13,43.000,瞬时请求候选,0x310,8,2,0,0,0,0.7600,6,25,0.976850
14,43.000,瞬时请求候选,0x310,8,2,2,0,0,0.6000,6,25,1.476950
15,43.000,瞬时请求候选,0x310,8,2,5,0,0,0.7600,6,25,0.976850
16,43.000,瞬时请求候选,0x310,8,2,6,0,0,0.7600,6,25,0.976850
17,43.000,瞬时请求候选,0x310,8,4,0,不一致,0,0.6000,6,25,0.976850
18,43.000,瞬时请求候选,0x310,8,6,0,0,0,0.7600,6,25,0.976850
19,43.000,瞬时请求候选,0x310,8,6,1,0,0,0.6000,6,25,1.476950
20,43.000,瞬时请求候选,0x70B,8,2,1,0,0,0.8500,6,25,-0.213450
21,43.000,瞬时请求候选,0x70B,8,4,0,0,0,0.8500,6,25,-0.213450
22,43.000,瞬时请求候选,0x70B,8,4,4,0,0,0.7750,6,25,-0.212950
23,42.800,瞬时请求候选,0x330,8,1,0,1,1,0.8238,6,26,-0.027100
24,42.800,瞬时请求候选,0x330,8,7,2,0,0,0.7333,6,26,0.598150
25,42.600,瞬时请求候选,0x330,8,0,0,不一致,0,0.6714,6,27,-0.027100
26,42.600,瞬时请求候选,0x330,8,6,5,1,1,0.7095,6,27,-0.027100
27,42.600,瞬时请求候选,0x3DB,8,0,6,0,0,0.9000,6,27,0.898350
28,42.400,瞬时请求候选,0x310,8,0,2,0,0,0.6000,6,28,1.976900
29,42.400,瞬时请求候选,0x310,8,5,0,0,0,0.6000,6,28,1.976900
30,42.400,瞬时请求候选,0x310,8,5,4,0,0,0.6000,6,28,1.976900
31,42.400,瞬时请求候选,0x310,8,5,5,不一致,不一致,0.6000,6,28,1.476950
32,42.400,瞬时请求候选,0x310,8,5,6,不一致,不一致,0.6000,6,28,1.476950
33,42.400,瞬时请求候选,0x310,8,7,3,不一致,不一致,0.6000,6,28,1.476950
34,42.400,瞬时请求候选,0x310,8,7,5,0,0,0.6000,6,28,1.976900
35,42.400,瞬时请求候选,0x330,8,1,6,1,不一致,0.5571,6,28,0.347700
36,42.400,瞬时请求候选,0x330,8,4,2,不一致,0,0.5857,6,28,-0.027100
37,42.400,瞬时请求候选,0x70B,8,4,2,1,不一致,0.5500,6,28,-0.213450
38,42.400,瞬时请求候选,0x70B,8,4,6,0,0,0.6500,6,28,0.787100
39,42.400,瞬时请求候选,0x70B,8,5,6,0,0,0.6500,6,28,0.787100
