rank,score,can_id,byte,bit_in_byte,motion_hits,inside_transitions,outside_transitions,activity_enrichment
1,70.000,0x2C2,4,2,4,54,0,201.000
2,70.000,0x2C2,5,2,4,46,0,171.370
3,70.000,0x2C2,5,4,4,38,0,141.741
4,70.000,0x2C2,5,5,4,28,0,104.704
5,70.000,0x2C2,5,6,4,52,0,193.593
6,70.000,0x2C2,5,7,4,28,0,104.704
7,70.000,0x2C2,6,3,4,52,0,193.593
8,70.000,0x2C2,6,6,4,30,0,112.111
9,70.000,0x3A1,3,7,4,82,0,304.704
10,70.000,0x545,1,2,4,86,0,319.519
11,69.566,0x2C2,5,1,4,16,0,60.259
12,68.619,0x2B4,4,5,4,14,0,52.852
13,66.247,0x360,5,2,4,10,0,38.037
14,64.684,0x2B4,4,6,4,8,0,30.630
15,60.000,0x2C2,4,3,3,50,0,186.185
16,60.000,0x2C2,5,3,3,20,0,75.074
17,60.000,0x2C2,6,0,3,30,0,112.111
18,60.000,0x545,1,1,3,56,0,208.407
19,60.000,0x788,6,5,3,28,0,104.704
20,59.916,0x23A,0,4,4,4,0,15.815
21,53.755,0x55D,0,7,3,7,0,26.926
22,51.948,0x382,0,0,4,8,2,7.106
23,51.434,0x55D,0,2,3,5,0,19.519
24,51.434,0x55D,0,6,3,5,0,19.519
25,44.257,0x522,0,7,3,6,1,8.746
26,44.257,0x55D,6,2,3,6,1,8.746
27,44.257,0x55D,6,4,3,6,1,8.746
28,43.208,0x3A1,3,6,4,110,52,4.691
29,41.018,0x382,1,0,3,7,2,6.247
