rank,score,category,can_id,dlc,byte,bit_in_byte,closed_value,open_value,stable_purity,action_hits,unrelated_transitions,median_delay_s
1,89.700,稳定状态,0x23A,8,0,4,0,1,1.0000,2,2,0.575900
2,45.600,瞬时请求候选,0x53E,8,0,0,不一致,1,0.6600,6,12,0.876400
3,45.600,瞬时请求候选,0x53E,8,5,0,不一致,0,0.6600,6,12,0.376800
4,44.600,瞬时请求候选,0x7C8,8,1,4,0,0,0.8250,6,17,-0.176600
5,44.600,瞬时请求候选,0x7C8,8,5,0,0,0,0.8250,6,17,-0.176600
6,44.600,瞬时请求候选,0x7C8,8,5,2,0,0,0.8250,6,17,-0.176600
7,44.600,瞬时请求候选,0x7C8,8,5,3,0,0,0.8250,6,17,-0.176600
8,44.600,瞬时请求候选,0x7C8,8,5,5,0,0,0.8250,6,17,-0.176600
9,44.600,瞬时请求候选,0x7C8,8,5,6,0,0,0.8250,6,17,-0.176600
10,44.600,瞬时请求候选,0x7C8,8,7,1,0,0,0.8250,6,17,-0.176600
11,44.600,瞬时请求候选,0x7C8,8,7,2,0,0,0.8250,6,17,-0.176600
12,44.600,瞬时请求候选,0x7C8,8,7,3,0,0,0.8250,6,17,-0.176600
13,44.600,瞬时请求候选,0x7C8,8,7,5,0,0,0.8250,6,17,-0.176600
14,44.600,瞬时请求候选,0x7C8,8,7,7,0,0,0.8250,6,17,-0.176600
15,44.200,瞬时请求候选,0x301,8,5,5,1,不一致,0.7000,6,19,0.826300
16,44.200,瞬时请求候选,0x301,8,5,6,1,不一致,0.7000,6,19,0.826300
17,44.200,瞬时请求候选,0x302,8,1,0,0,0,0.7250,6,19,0.350700
18,44.200,瞬时请求候选,0x303,8,4,1,1,不一致,0.7000,6,19,0.922700
19,44.200,瞬时请求候选,0x303,8,5,1,1,不一致,0.7000,6,19,0.922700
20,44.200,瞬时请求候选,0x303,8,5,5,1,不一致,0.7000,6,19,0.922700
21,44.200,瞬时请求候选,0x7E8,8,1,0,1,1,0.6750,6,19,0.816600
22,44.000,瞬时请求候选,0x301,8,1,0,0,不一致,0.6750,6,20,0.825750
23,44.000,瞬时请求候选,0x301,8,7,3,1,不一致,0.6750,6,20,1.325300
24,44.000,瞬时请求候选,0x303,8,1,0,0,不一致,0.6750,6,20,0.922100
25,44.000,瞬时请求候选,0x303,8,5,0,1,不一致,0.6750,6,20,1.422050
26,44.000,瞬时请求候选,0x303,8,5,2,1,不一致,0.6750,6,20,1.422050
27,44.000,瞬时请求候选,0x303,8,5,3,1,不一致,0.6750,6,20,1.422050
28,44.000,瞬时请求候选,0x303,8,5,6,1,不一致,0.6750,6,20,1.422050
29,44.000,瞬时请求候选,0x303,8,7,2,1,不一致,0.6750,6,20,1.422050
30,44.000,瞬时请求候选,0x303,8,7,3,1,不一致,0.6750,6,20,1.422050
31,43.200,瞬时请求候选,0x53E,8,2,1,不一致,0,0.7300,6,24,0.376800
32,43.200,瞬时请求候选,0x53E,8,2,4,不一致,0,0.7300,6,24,0.376800
33,43.200,瞬时请求候选,0x53E,8,4,7,不一致,0,0.7300,6,24,0.376800
34,43.000,瞬时请求候选,0x330,8,5,2,0,0,0.6190,6,25,0.559050
35,43.000,瞬时请求候选,0x330,8,5,5,0,0,0.6190,6,25,0.559050
36,43.000,瞬时请求候选,0x53E,8,0,1,不一致,不一致,0.6100,6,25,-0.122000
37,43.000,瞬时请求候选,0x53E,8,2,0,不一致,不一致,0.6100,6,25,-0.122000
38,43.000,瞬时请求候选,0x53E,8,4,0,不一致,0,0.6100,6,25,0.875550
39,43.000,瞬时请求候选,0x53E,8,6,1,不一致,0,0.6100,6,25,0.875550
40,43.000,瞬时请求候选,0x53E,8,6,2,不一致,0,0.6100,6,25,-0.122000
41,43.000,瞬时请求候选,0x53E,8,6,3,1,1,0.6600,6,25,0.376500
42,43.000,瞬时请求候选,0x53E,8,6,5,1,1,0.5600,6,25,0.376500
43,43.000,瞬时请求候选,0x53E,8,6,6,不一致,0,0.6100,6,25,-0.122000
44,43.000,瞬时请求候选,0x53E,8,6,7,1,1,0.5600,6,25,0.376500
45,43.000,瞬时请求候选,0x53E,8,7,0,1,1,0.7300,6,25,0.376500
46,43.000,瞬时请求候选,0x53E,8,7,1,不一致,0,0.6100,6,25,-0.122000
47,43.000,瞬时请求候选,0x53E,8,7,3,不一致,0,0.6100,6,25,-0.122000
48,43.000,瞬时请求候选,0x53E,8,7,4,1,1,0.5600,6,25,0.376500
49,43.000,瞬时请求候选,0x53E,8,7,5,1,1,0.5600,6,25,0.376500
50,43.000,瞬时请求候选,0x53E,8,7,6,不一致,0,0.6100,6,25,-0.122000
51,43.000,瞬时请求候选,0x53E,8,7,7,不一致,0,0.6100,6,25,0.875550
52,42.800,瞬时请求候选,0x330,8,4,4,不一致,0,0.5571,6,26,0.183950
53,42.800,瞬时请求候选,0x330,8,4,5,不一致,0,0.5571,6,26,0.183950
54,42.800,瞬时请求候选,0x330,8,5,4,不一致,0,0.5571,6,26,0.183950
55,42.800,瞬时请求候选,0x53E,8,0,2,0,0,0.6600,6,26,0.875550
56,42.800,瞬时请求候选,0x53E,8,1,0,不一致,不一致,0.5600,6,26,0.879350
57,42.800,瞬时请求候选,0x53E,8,4,4,1,1,0.6100,6,26,-0.122000
58,42.800,瞬时请求候选,0x53E,8,4,5,1,1,0.6100,6,26,-0.122000
59,42.800,瞬时请求候选,0x53E,8,4,6,不一致,不一致,0.5600,6,26,0.879350
60,42.800,瞬时请求候选,0x53E,8,5,2,1,不一致,0.6100,6,26,-0.122000
61,42.800,瞬时请求候选,0x53E,8,5,6,0,0,0.6600,6,26,0.875550
62,42.600,瞬时请求候选,0x330,8,4,2,0,0,0.6190,6,27,1.433500
63,42.600,瞬时请求候选,0x3C4,8,2,6,0,0,0.6950,6,27,0.191650
64,42.600,瞬时请求候选,0x70B,8,5,2,0,0,0.8500,6,27,0.255900
65,42.400,瞬时请求候选,0x310,8,0,2,0,0,0.6300,6,28,0.434950
66,42.400,瞬时请求候选,0x310,8,5,0,0,0,0.6300,6,28,0.434950
67,42.400,瞬时请求候选,0x310,8,5,4,0,0,0.6300,6,28,0.434950
68,42.400,瞬时请求候选,0x310,8,5,5,1,1,0.5800,6,28,0.434950
69,42.400,瞬时请求候选,0x310,8,5,6,1,1,0.5800,6,28,0.434950
70,42.400,瞬时请求候选,0x310,8,7,3,1,1,0.5800,6,28,0.434950
71,42.400,瞬时请求候选,0x310,8,7,5,0,0,0.6300,6,28,0.434950
72,42.400,瞬时请求候选,0x330,8,4,1,不一致,0,0.5571,6,28,1.183250
