dbc_source,source_format,vehicle_family,bus_name,message_id_dec,message_id_hex,message_name,message_sender,message_length,message_cycle_time,message_send_type,signal_name,signal_name_cn,business_domain,signal_role,signal_receivers,start_bit,signal_length,byte_order,signedness,factor,offset,minimum,maximum,unit,enum_values,is_multiplexed,multiplexer_value,comment
json/ModelS/ModelS_CH.compact.json.json,JSON,ModelS,CH,3,0x3,STW_ANGL_STAT,sccm,8,10,Cyclic,StW_Angl,,,,SDM|BDY|BCCEN|GTW,5,14,BIG,UNSIGNED,0.5,-2048,-2048,2047,deg,SNA=16383,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,3,0x3,BCLamps,gtw,8,100,NoMsgSendType,BC_indicatorRStatus,,,,MCU,21,2,BIG,UNSIGNED,1,0,0,3,,Failed=2|Off=0|On=1|default=3,false,,
json/ModelS/ModelS_ETH.compact.json.json,JSON,ModelS,ETH,3,0x3,BCLamps,gtw,8,100,NoMsgSendType,BC_indicatorLStatus,,,,MCU,31,2,BIG,UNSIGNED,1,0,0,3,,Failed=2|Off=0|On=1|default=3,false,,
json/ModelX/ModelS_CH.compact.json.json,JSON,ModelX,CH,3,0x3,STW_ANGL_STAT,sccm,8,10,Cyclic,StW_Angl,,,,SDM|BDY|BCCEN|GTW,5,14,BIG,UNSIGNED,0.5,-2048,-2048,2047,deg,SNA=16383,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,3,0x3,BCLamps,gtw,8,100,NoMsgSendType,BC_indicatorRStatus,,,,MCU,21,2,BIG,UNSIGNED,1,0,0,3,,Failed=2|Off=0|On=1|default=3,false,,
json/ModelX/ModelS_ETH.compact.json.json,JSON,ModelX,ETH,3,0x3,BCLamps,gtw,8,100,NoMsgSendType,BC_indicatorLStatus,,,,MCU,31,2,BIG,UNSIGNED,1,0,0,3,,Failed=2|Off=0|On=1|default=3,false,,
tesla_can (1).dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_Angl,,,,NEO,5,14,big_endian,unsigned,0.5,-2048,,,deg,16383=SNA,false,,
tesla_can (1).dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_AnglSpd,,,,NEO,21,14,big_endian,unsigned,0.5,-2048,,,/s,16383=SNA,false,,
tesla_can (1).dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_AnglSens_Stat,,,,NEO,33,2,big_endian,unsigned,1,0,-1,4,,0=OK|1=INI|2=ERR|3=ERR_INI,false,,
tesla_can (1).dbc,DBC,,,3,0x3,STW_ANGL_STAT,STW,8,,,StW_AnglSens_Id,,,,NEO,35,2,big_endian,unsigned,1,0,3,3,,0=PSBL|1=SELF|2=MUST,false,,
