====================================================================================================
DBC / ASC CAN ID 匹配统计
====================================================================================================

[MATCHED] 已命中 ID：145
----------------------------------------------------------------------------------------------------
CAN_ID    DEC_ID    COUNT       ASC_DLC         DBC_DLC   MESSAGE_NAME
----------------------------------------------------------------------------------------------------
0x132     306       43267       6:43267         8         BMS_hvBusStatus
0x2E1     737       27050       8:27050         8         VCFRONT_status
0x261     609       27041       8:27041         8         VCFRONT_12VBatteryStatus
0x263     611       21633       8:21633         8         VCRIGHT_logging10Hz
0x243     579       21632       8:21632         8         ID243VCRIGHT_hvacStatus0x2C1     705       21632       8:21632         8         VCFRONT_logging10Hz
0x201     513       17307       8:17307         8         VCFRONT_logging10Hz2
0x401     1025      15572       8:15572         8         BMS_brickVoltages
0x129     297       13254       8:13254         8         SCCM_steeringAngleSensor
0x3A2     930       13110       8:13110         8         VCLEFT_status
0x381     897       12018       8:12018         8         VCFRONT_logging1Hz
0x142     322       8653        8:8653          8         VCLEFT_liftgateStatus
0x221     545       8653        8:8653          8         VCFRONT_LVPowerState
0x3A1     929       8653        8:8653          8         VCFRONT_vehicleStatus
0x3C2     962       8653        8:8653          8         VCLEFT_switchStatus
0x2B3     691       7210        8:7210          8         VCRIGHT_logging1Hz
0x372     882       6490        8:6490          8         EPAS3S_sysStatus
0x7AA     1962      5625        8:5625          8         HVP_debugMessage
0x39D     925       4514        5:4514          3         IBST_status
0x102     258       4350        8:4350          8         VCLEFT_doorStatus
0x4E2     1250      4330        8:4330          8         VCLEFT_seatStatus
0x339     825       4328        8:4328          8         VCSEC_authentication
0x103     259       4327        8:4327          8         VCRIGHT_doorStatus
0x113     275       4327        3:4327          7         GTW_adc2
0x119     281       4327        4:4327          3         GTW_busLoadInfo
0x123     291       4327        8:4327          8         UI_alertMatrix1
0x204     516       4327        8:4327          8         PCS_chgStatus
0x212     530       4327        8:4327          8         BMS_status
0x224     548       4327        8:4327          8         PCS_dcdcStatus
0x241     577       4327        7:4327          7         VCFRONT_coolant
0x252     594       4327        8:4327          8         BMS_powerAvailable
0x264     612       4327        6:4327          6         PCS_chgLineStatus
0x272     626       4327        8:4327          8         VCLEFT_epbmDebug
0x282     642       4327        8:4327          8         VCLEFT_hvacBlowerFeedback
0x292     658       4327        8:4327          8         BMS_socStatus
0x2B4     692       4327        6:4327          5         PCS_dcdcBusStatus
0x2C4     708       4327        8:4327          8         PCS_logging
0x2D1     721       4327        2:4327          1         VCFRONT_okToUseHighPower
0x2D2     722       4327        8:4327          8         BMS_driveLimits
0x2F1     753       4327        8:4327          8         VCFRONT_eFuseDebugStatus
0x2F2     754       4327        2:4327          2         BMS_vehNm
0x318     792       4327        8:4327          8         UTC_systemTime
0x359     857       4327        8:4327          7         VCSEC_BLEDeviceStatus
0x37A     890       4327        8:4327          8         DAS_telemetryPeriodic
0x3C0     960       4327        8:4327          8         VCRIGHT_alertMatrix
0x439     1081      4327        8:4327          8         APP_warningMatrix3
0x458     1112      4327        7:4327          7         GTW_vehNm
0x7FF     2047      4327        8:4327          8         GTW_carConfig
0x1F9     505       4326        8:4326          1         VCSEC_requests
0x20C     524       4326        8:4326          7         VCRIGHT_hvacRequest
0x219     537       4326        7:4326          5         VCSEC_TPMSData
0x21D     541       4326        8:4326          8         CP_evseStatus
0x228     552       4326        8:4326          8         EPBR_internalStatus
0x25D     605       4326        8:4326          8         CP_status
0x27D     637       4326        8:4326          3         APS_eacMonitor
0x288     648       4326        8:4326          8         EPBL_internalStatus
0x29D     669       4326        5:4326          4         CP_dcChargeStatus
0x2A8     680       4326        8:4326          8         CMPD_state
0x2E8     744       4326        8:4326          8         EPBR_status
0x340     832       4326        8:4326          8         VCFRONT_alertMatrix
0x360     864       4326        8:4326          8         VCLEFT_alertMatrix
0x383     899       4326        8:4326          8         VCRIGHT_thsStatus
0x393     915       4326        8:4326          8         ID393VCRIGHT_epbmDebug
0x3C8     968       4326        8:4326          8         EPBL_alertMatrix
0x3E8     1000      4326        8:4326          8         EPBR_alertMatrix
0x3F9     1017      4326        8:4326          8         VCSEC_alertMatrix
0x428     1064      4326        7:4326          8         UI_telemetryControl
0x448     1096      4326        7:4326          8         UI_driverAssistAnonDebugParams
0x4E3     1251      4326        8:4326          8         VCRIGHT_seatStatus
0x285     645       3464        8:3464          8         UI_driverProfileRecall
0x249     585       2651        4:2651          3         SCCM_leftStalk
0x3FD     1021      2593        8:2593          8         UI_autopilotControl
0x20E     526       2335        3:2335          8         PARK_sdiFront
0x25B     603       2296        8:2296          1         APP_environment
0x3E2     994       2171        7:2171          7         VCLEFT_lightStatus
0x3E3     995       2171        4:2171          2         VCRIGHT_lightStatus
0x31A     794       2163        8:2163          4         VCRIGHT_restraintStatus0x320     800       2163        8:2163          8         BMS_alertMatrix
0x42A     1066      2163        8:2163          8         VCSEC_TPMSConnectionData
0x75D     1885      2163        8:2163          8         CP_sensorData
0x253     595       1733        8:1733          7         UI_ventPanelControlRequest
0x405     1029      1731        8:1731          8         VIN_info
0x31E     798       1730        8:1730          8         CP_alertMatrix
0x2A7     679       1525        8:1525          8         UI_csaRoadCurvature
0x229     553       1328        3:1328          3         SCCM_rightStalk
0x54F     1359      1326        8:1326          8         SCCM_alertMatrix
0x473     1139      907         8:907           8         UI_VEHNm
0x273     627       891         8:891           8         UI_vehicleControl
0x2D3     723       878         8:878           8         UI_solarData
0x3B3     947       872         8:872           2         UI_vehicleControl2
0x293     659       869         8:869           8         UI_chassisControl
0x286     646       868         5:868           7         DI_locStatus
0x2F3     755       867         8:867           5         UI_hvacRequest
0x213     531       866         2:866           3         UI_cruiseControl
0x238     568       866         8:866           8         UI_driverAssistMapData
0x284     644       866         8:866           4         UI_vehicleModes
0x313     787       866         8:866           8         UI_powertrainControl
0x3AA     938       866         8:866           8         HVP_alertMatrix1
0x312     786       865         8:865           8         BMS_thermalStatus
0x392     914       865         8:865           8         EPAS3P_alertMatrix
0x333     819       864         5:864           4         UI_chargeRequest
0x352     850       649         8:649           8         BMS_energyStatus
0x3C4     964       517         8:517           8         PCS_info
0x3E9     1001      473         8:473           8         DAS_bodyControls
0x3D8     984       439         4:439           2         UI_elevationStatus
0x353     851       437         8:437           7         UI_status
0x082     130       433         8:433           8         UI_tripPlanning
0x20A     522       433         6:433           6         HVP_contactorState
0x24A     586       433         1:433           8         DAS_visualDebug
0x25A     602       433         6:433           8         TPMS_bluetoothData
0x262     610       433         8:433           6         VCLEFT_steeringColumnStatus
0x2A4     676       433         8:433           8         PCS_thermalStatus
0x300     768       433         8:433           8         BMS_info
0x301     769       433         8:433           8         VCFRONT_info
0x302     770       433         8:433           8         VCLEFT_info
0x303     771       433         8:433           8         OCS1P_status
0x311     785       433         2:433           8         EPAS3S_info
0x319     793       433         8:433           8         VCSEC_info
0x332     818       433         6:433           6         BMS_bmbMinMax
0x348     840       433         8:433           1         GTW_status
0x373     883       433         8:433           8         EPAS3P_sysStatus
0x3A4     932       433         8:433           8         PCS_alertMatrix
0x3C9     969       433         8:433           8         VCSEC_BLEEndpointInfo
0x3D2     978       433         8:433           8         BMS_kwhCounter
0x3D3     979       433         3:433           1         UI_airbagCutoffStatus
0x3F2     1010      433         8:433           8         BMS_kwhCountersMultiplexed
0x528     1320      433         4:433           4         UTC_unixTime
0x743     1859      433         1:433           1         VCRIGHT_recallStatus
0x7C8     1992      433         8:433           8         EPBL_info
0x04F     79        432         8:432           8         UI_locationStatus
0x321     801       432         8:432           8         VCFRONT_sensors
0x33A     826       432         8:432           8         UI_rangeSOC
0x399     921       432         3:432           8         DAS_status
0x5F3     1523      432         3:432           8         UI_alertLog
0x744     1860      432         1:432           1         VCLEFT_recallStatus
0x7E8     2024      432         8:432           8         EPBR_info
0x310     784       259         8:259           8         HVP_info
0x53E     1342      258         8:258           8         CP_info
0x38D     909       230         8:230           8         TAS_warningMatrix3
0x7F1     2033      216         7:216           7         GTW_hrl
0x330     816       106         8:106           8         SCCM_info
0x32A     810       86          5:86            8         DAS_warningMatrix0
0x549     1353      43          6:43            8         APP_info
0x1D9     473       16          6:2,            8         VCSEC_IsoTpUDPPipeUI
0x481     1153      12          3:12            8         UI_IsoTpUDPPipeVCSEC

[UNMATCHED] 未命中 ID：163
----------------------------------------------------------------------
CAN_ID    DEC_ID    COUNT       ASC_DLC
----------------------------------------------------------------------
0x545     1349      13111       8:13111
0x3AB     939       11091       8:11091
0x677     1655      10816       8:10816
0x234     564       8655        8:8655
0x441     1089      8653        8:8653
0x45A     1114      8653        8:8653
0x719     1817      8653        8:8653
0x609     1545      7241        8:7241
0x3AE     942       6054        8:6054
0x22B     555       4702        8:4702
0x3F5     1013      4351        8:4351
0x122     290       4349        8:4349
0x2C2     706       4344        8:4344
0x139     313       4327        1:4327
0x1F8     504       4327        4:4327
0x225     549       4327        4:4327
0x22A     554       4327        4:4327
0x283     643       4327        6:4327
0x289     649       4327        8:4327
0x379     889       4327        8:4327
0x3A3     931       4327        8:4327
0x421     1057      4327        7:4327
