capture,window,can_id,state,payload,purity,frames
左前物理按钮,左前,0x2C2,全关1,20 40 40 6A 01 00 00 CB,1.0,40
左前物理按钮,左前,0x2C2,部分开启,20 40 40 6F 01 00 00 CB,1.0,40
左前物理按钮,左前,0x2C2,全关2,20 40 00 66 01 00 00 CB,1.0,40
左前物理按钮,左前,0x2C2,全开,20 40 40 20 01 00 00 CB,1.0,40
左前物理按钮,左前,0x2C2,全关3,20 40 C0 4B 01 00 00 CB,1.0,40
左前物理按钮,左前,0x2C3,全关1,00 00 00 4B 01 00 80 CB,1.0,40
左前物理按钮,左前,0x2C3,部分开启,00 00 00 4B 01 00 80 CB,1.0,40
左前物理按钮,左前,0x2C3,全关2,00 00 00 4B 01 00 80 CB,1.0,40
左前物理按钮,左前,0x2C3,全开,00 00 00 4B 01 00 80 CB,1.0,40
左前物理按钮,左前,0x2C3,全关3,00 00 00 4B 01 00 80 CB,1.0,40
左前物理按钮,左前,0x1FA,全关1,22 C0 01,1.0,80
左前物理按钮,左前,0x1FA,部分开启,22 C0 01,1.0,80
左前物理按钮,左前,0x1FA,全关2,22 C0 01,1.0,80
左前物理按钮,左前,0x1FA,全开,22 C0 01,1.0,80
左前物理按钮,左前,0x1FA,全关3,02 C0 01,1.0,80
右前物理按钮,右前,0x2C2,全关1,20 40 C0 4B 01 00 80 CB,1.0,40
右前物理按钮,右前,0x2C2,部分开启,20 40 C0 4B 01 00 80 CB,1.0,40
右前物理按钮,右前,0x2C2,全关2,20 40 C0 4B 01 00 80 CB,1.0,40
右前物理按钮,右前,0x2C2,全开,20 40 C0 4B 01 00 80 CB,1.0,40
右前物理按钮,右前,0x2C2,全关3,20 40 C0 4B 01 00 80 CB,1.0,40
右前物理按钮,右前,0x2C3,全关1,00 00 C0 4B 01 00 80 CB,1.0,40
右前物理按钮,右前,0x2C3,部分开启,00 00 00 51 01 00 80 CB,1.0,40
右前物理按钮,右前,0x2C3,全关2,00 00 C0 4B 01 00 80 CB,1.0,40
右前物理按钮,右前,0x2C3,全开,00 00 40 20 01 00 80 CB,1.0,40
右前物理按钮,右前,0x2C3,全关3,00 00 C0 4B 01 00 80 CB,1.0,40
右前物理按钮,右前,0x1FA,全关1,02 C0 01,1.0,80
右前物理按钮,右前,0x1FA,部分开启,22 C0 01,1.0,80
右前物理按钮,右前,0x1FA,全关2,02 C0 01,1.0,80
右前物理按钮,右前,0x1FA,全开,22 C0 01,1.0,80
右前物理按钮,右前,0x1FA,全关3,02 C0 01,1.0,80
右后物理按钮,右后,0x2C2,全关1,20 40 C0 4B 01 00 80 CB,1.0,40
右后物理按钮,右后,0x2C2,部分开启,20 40 C0 4B 01 00 80 CB,1.0,40
右后物理按钮,右后,0x2C2,全关2,20 40 C0 4B 01 00 80 CB,1.0,40
右后物理按钮,右后,0x2C2,全开,20 40 C0 4B 01 00 80 CB,1.0,40
右后物理按钮,右后,0x2C2,全关3,20 40 C0 4B 01 00 80 CB,1.0,40
右后物理按钮,右后,0x2C3,全关1,00 00 C0 4B 01 00 80 CB,1.0,40
右后物理按钮,右后,0x2C3,部分开启,00 00 C0 4B 01 00 C0 D3,1.0,40
右后物理按钮,右后,0x2C3,全关2,00 00 C0 4B 01 00 C0 CB,1.0,40
右后物理按钮,右后,0x2C3,全开,00 00 C0 4B 01 00 40 FF,1.0,40
右后物理按钮,右后,0x2C3,全关3,00 00 C0 4B 01 00 80 CB,1.0,40
右后物理按钮,右后,0x1FA,全关1,02 C0 01,1.0,80
右后物理按钮,右后,0x1FA,部分开启,22 C0 01,1.0,80
右后物理按钮,右后,0x1FA,全关2,02 C0 01,1.0,80
右后物理按钮,右后,0x1FA,全开,22 C0 01,1.0,80
右后物理按钮,右后,0x1FA,全关3,02 C0 01,1.0,80
左后物理按钮,左后,0x2C2,全关1,20 40 C0 4B 01 00 80 CB,1.0,40
左后物理按钮,左后,0x2C2,部分开启,20 40 C0 4B 01 00 80 D4,1.0,40
左后物理按钮,左后,0x2C2,全关2,20 40 C0 4B 01 00 80 CB,1.0,40
左后物理按钮,左后,0x2C2,全开,20 40 C0 4B 01 00 40 FE,1.0,40
左后物理按钮,左后,0x2C2,全关3,20 40 C0 4B 01 00 80 CB,1.0,40
左后物理按钮,左后,0x2C3,全关1,00 00 C0 4B 01 00 80 CB,1.0,40
左后物理按钮,左后,0x2C3,部分开启,00 00 C0 4B 01 00 80 CB,1.0,40
左后物理按钮,左后,0x2C3,全关2,00 00 C0 4B 01 00 80 CB,1.0,40
左后物理按钮,左后,0x2C3,全开,00 00 C0 4B 01 00 80 CB,1.0,40
左后物理按钮,左后,0x2C3,全关3,00 00 C0 4B 01 00 80 CB,1.0,40
左后物理按钮,左后,0x1FA,全关1,02 C0 01,1.0,80
左后物理按钮,左后,0x1FA,部分开启,22 C0 01,1.0,80
左后物理按钮,左后,0x1FA,全关2,02 C0 01,1.0,80
左后物理按钮,左后,0x1FA,全开,22 C0 01,1.0,80
左后物理按钮,左后,0x1FA,全关3,02 C0 01,1.0,80
