capture,window,baseline,can_id,bit,transitions,inside,outside,motion_hits,hit_labels
左前物理按钮,左前,False,0x545,B1.b1,108,88,20,3,手动下降/自动上升/自动下降
左前物理按钮,左前,False,0x545,B1.b2,134,100,34,4,手动上升/手动下降/自动上升/自动下降
左前物理按钮,左前,False,0x545,B2.b6,0,0,0,0,
左前物理按钮,左前,False,0x545,B2.b7,0,0,0,0,
左前物理按钮,左前,False,0x2C2,B1.b2,86,68,18,4,手动上升/手动下降/自动上升/自动下降
左前物理按钮,左前,False,0x2C2,B2.b2,46,40,6,3,手动下降/自动上升/自动下降
左前物理按钮,左前,False,0x2C2,B2.b4,100,76,24,4,手动上升/手动下降/自动上升/自动下降
左前物理按钮,左前,False,0x2C3,B1.b2,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B2.b2,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B2.b4,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B4.b2,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B5.b2,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B5.b3,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B5.b4,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B5.b5,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B5.b6,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B6.b0,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B6.b3,0,0,0,0,
左前物理按钮,左前,False,0x2C3,B7.b0,0,0,0,0,
左前物理按钮,左前,False,0x1FA,B0.b5,2,0,2,0,
右前物理按钮,右前,False,0x545,B1.b1,0,0,0,0,
右前物理按钮,右前,False,0x545,B1.b2,0,0,0,0,
右前物理按钮,右前,False,0x545,B2.b6,84,84,0,4,手动上升/手动下降/自动上升/自动下降
右前物理按钮,右前,False,0x545,B2.b7,90,90,0,4,手动上升/手动下降/自动上升/自动下降
右前物理按钮,右前,False,0x2C2,B1.b2,0,0,0,0,
右前物理按钮,右前,False,0x2C2,B2.b2,0,0,0,0,
右前物理按钮,右前,False,0x2C2,B2.b4,0,0,0,0,
右前物理按钮,右前,False,0x2C3,B1.b2,78,78,0,4,手动上升/手动下降/自动上升/自动下降
右前物理按钮,右前,False,0x2C3,B2.b2,40,40,0,3,手动下降/自动上升/自动下降
右前物理按钮,右前,False,0x2C3,B2.b4,72,72,0,4,手动上升/手动下降/自动上升/自动下降
右前物理按钮,右前,False,0x2C3,B4.b2,0,0,0,0,
右前物理按钮,右前,False,0x2C3,B5.b2,0,0,0,0,
右前物理按钮,右前,False,0x2C3,B5.b3,0,0,0,0,
右前物理按钮,右前,False,0x2C3,B5.b4,0,0,0,0,
右前物理按钮,右前,False,0x2C3,B5.b5,0,0,0,0,
右前物理按钮,右前,False,0x2C3,B5.b6,0,0,0,0,
右前物理按钮,右前,False,0x2C3,B6.b0,0,0,0,0,
右前物理按钮,右前,False,0x2C3,B6.b3,182,82,100,2,自动上升/自动下降
右前物理按钮,右前,False,0x2C3,B7.b0,0,0,0,0,
右前物理按钮,右前,False,0x1FA,B0.b5,4,4,0,4,手动上升/手动下降/自动上升/自动下降
